problem,algorithm,trial,total_samples,feasible_samples,infeasible_samples,feasible_ratio
MW5,EGBO,0,114,38,76,0.3333333333333333
MW5,EGBO,1,114,42,72,0.3684210526315789
MW5,EGBO,2,114,50,64,0.43859649122807015
MW5,EGBO,3,114,65,49,0.5701754385964912
MW5,EGBO,4,114,30,84,0.2631578947368421
MW5,EGBO,5,114,19,95,0.16666666666666666
MW5,EGBO,6,114,18,96,0.15789473684210525
MW5,EGBO,7,114,28,86,0.24561403508771928
MW5,EGBO,8,114,41,73,0.35964912280701755
MW5,EGBO,9,114,30,84,0.2631578947368421
MW5,Traditional_NEHVI,1,114,10,104,0.08771929824561403
MW5,Traditional_NEHVI,2,114,12,102,0.10526315789473684
MW5,Traditional_NEHVI,3,114,10,104,0.08771929824561403
MW5,Traditional_NEHVI,4,114,18,96,0.15789473684210525
MW5,Traditional_NEHVI,5,114,10,104,0.08771929824561403
MW5,Traditional_NEHVI,6,114,8,106,0.07017543859649122
MW5,Traditional_NEHVI,7,114,4,110,0.03508771929824561
MW5,Traditional_NEHVI,8,114,8,106,0.07017543859649122
MW5,Traditional_NEHVI,9,114,10,104,0.08771929824561403
MW5_LooseBoundary,EGBO,0,114,38,76,0.3333333333333333
MW5_LooseBoundary,EGBO,1,114,24,90,0.21052631578947367
MW5_LooseBoundary,EGBO,2,114,65,49,0.5701754385964912
MW5_LooseBoundary,EGBO,3,114,41,73,0.35964912280701755
MW5_LooseBoundary,EGBO,4,114,55,59,0.4824561403508772
MW5_LooseBoundary,EGBO,5,114,18,96,0.15789473684210525
MW5_LooseBoundary,EGBO,6,114,31,83,0.2719298245614035
MW5_LooseBoundary,EGBO,7,114,26,88,0.22807017543859648
MW5_LooseBoundary,EGBO,8,114,57,57,0.5
MW5_LooseBoundary,EGBO,9,114,27,87,0.23684210526315788
MW5_LooseBoundary,Traditional_NEHVI,0,114,10,104,0.08771929824561403
MW5_LooseBoundary,Traditional_NEHVI,1,114,14,100,0.12280701754385964
MW5_LooseBoundary,Traditional_NEHVI,2,114,10,104,0.08771929824561403
MW5_LooseBoundary,Traditional_NEHVI,3,114,7,107,0.06140350877192982
MW5_LooseBoundary,Traditional_NEHVI,4,114,9,105,0.07894736842105263
MW5_LooseBoundary,Traditional_NEHVI,5,114,10,104,0.08771929824561403
MW5_LooseBoundary,Traditional_NEHVI,6,114,9,105,0.07894736842105263
MW5_LooseBoundary,Traditional_NEHVI,7,114,6,108,0.05263157894736842
MW5_LooseBoundary,Traditional_NEHVI,8,114,10,104,0.08771929824561403
MW5_LooseBoundary,Traditional_NEHVI,9,114,13,101,0.11403508771929824
MW5_TightBoundary,EGBO,0,114,44,70,0.38596491228070173
MW5_TightBoundary,EGBO,1,114,27,87,0.23684210526315788
MW5_TightBoundary,EGBO,2,114,53,61,0.4649122807017544
MW5_TightBoundary,EGBO,3,114,23,91,0.20175438596491227
MW5_TightBoundary,EGBO,4,114,33,81,0.2894736842105263
MW5_TightBoundary,EGBO,5,114,26,88,0.22807017543859648
MW5_TightBoundary,EGBO,6,114,20,94,0.17543859649122806
MW5_TightBoundary,EGBO,7,114,21,93,0.18421052631578946
MW5_TightBoundary,EGBO,8,114,56,58,0.49122807017543857
MW5_TightBoundary,EGBO,9,114,42,72,0.3684210526315789
MW5_TightBoundary,Traditional_NEHVI,0,114,8,106,0.07017543859649122
MW5_TightBoundary,Traditional_NEHVI,1,114,10,104,0.08771929824561403
MW5_TightBoundary,Traditional_NEHVI,2,114,8,106,0.07017543859649122
MW5_TightBoundary,Traditional_NEHVI,3,114,8,106,0.07017543859649122
MW5_TightBoundary,Traditional_NEHVI,4,114,11,103,0.09649122807017543
MW5_TightBoundary,Traditional_NEHVI,5,114,11,103,0.09649122807017543
MW5_TightBoundary,Traditional_NEHVI,6,114,9,105,0.07894736842105263
MW5_TightBoundary,Traditional_NEHVI,7,114,6,108,0.05263157894736842
MW5_TightBoundary,Traditional_NEHVI,8,114,11,103,0.09649122807017543
MW5_TightBoundary,Traditional_NEHVI,9,114,10,104,0.08771929824561403
