problem,dimensionality,algorithm,trial,auc10,final_hv,regret,n_batches,time
DTLZ2_5obj_10D,10,EGBO,0,0.3079537037114024,0.5984517568359841,0.8240759009996831,12,192.34851384162903
DTLZ2_5obj_10D,10,EGBO,1,0.34558371574623076,0.6065110864643897,0.8160165713712775,12,153.43292212486267
DTLZ2_5obj_10D,10,EGBO,2,0.5187019925665097,0.832667699323809,0.5898599585118581,12,171.60980486869812
DTLZ2_5obj_10D,10,EGBO,3,0.3768423175266135,0.6182579625535976,0.8042696952820696,12,173.71547102928162
DTLZ2_5obj_10D,10,EGBO,4,0.39679013083204817,0.6667922886583451,0.7557353691773221,12,175.91533994674683
DTLZ2_5obj_10D,10,EGBO,5,1.1628539934693987,1.3954764546505032,0.027051203185163963,12,100.94506597518921
DTLZ2_5obj_10D,10,EGBO,6,1.0450821698138382,1.230217742888883,0.19230991494678418,12,78.70771503448486
DTLZ2_5obj_10D,10,EGBO,7,1.1738540369087223,1.4225276578356671,0.0,12,85.30252599716187
DTLZ2_5obj_10D,10,EGBO,8,1.071220902892813,1.316307860617324,0.10621979721834318,12,134.92783999443054
DTLZ2_5obj_10D,10,EGBO,9,1.1061553016234957,1.273653370050212,0.1488742877854552,12,103.87915706634521
DTLZ2_5obj_10D,10,NEHVI_AGE2,0,0.27906438038436665,0.46994548964758187,0.9525821681880853,12,197.0404942035675
DTLZ2_5obj_10D,10,NEHVI_AGE2,1,0.20189681826427647,0.36938495184145603,1.0531427059942111,12,1730.355574131012
DTLZ2_5obj_10D,10,NEHVI_AGE2,2,0.3193525033479939,0.49652746343478155,0.9260001944008855,12,152.33823418617249
DTLZ2_5obj_10D,10,NEHVI_AGE2,3,0.3639802108476238,0.6291487246337646,0.7933789332019026,12,167.69375705718994
DTLZ2_5obj_10D,10,NEHVI_AGE2,4,0.4583892025364581,0.7485625797073799,0.6739650781282872,12,1895.9622812271118
DTLZ2_5obj_10D,10,NEHVI_SMS,0,0.22837846345107327,0.4200241337556346,1.0025035240800326,12,233.0169060230255
DTLZ2_5obj_10D,10,NEHVI_SMS,1,0.2791575775822914,0.46666294242413053,0.9558647154115366,12,204.16504096984863
DTLZ2_5obj_10D,10,NEHVI_SMS,2,0.3208424432977809,0.5147200212297202,0.907807636605947,12,178.72273206710815
DTLZ2_5obj_10D,10,NEHVI_SMS,3,0.4060867598316219,0.5801327893925743,0.8423948684430929,12,226.00723004341125
DTLZ2_5obj_10D,10,NEHVI_SMS,4,0.32826880716594653,0.564645845032621,0.8578818128030461,12,150.8224368095398
DTLZ2_5obj_10D,10,Traditional_NEHVI,0,0.18493771998647493,0.26738066543439304,1.155146992401274,12,66.77427792549133
DTLZ2_5obj_10D,10,Traditional_NEHVI,1,0.20755216976963453,0.2725594555558441,1.149968202279823,12,55.95985794067383
DTLZ2_5obj_10D,10,Traditional_NEHVI,2,0.20882652242522512,0.29841541413583983,1.1241122436998272,12,56.13646411895752
DTLZ2_5obj_10D,10,Traditional_NEHVI,3,0.17621464431483372,0.25643220187315174,1.1660954559625154,12,49.19462490081787
DTLZ2_5obj_10D,10,Traditional_NEHVI,4,0.2573611950637566,0.33888834768437537,1.0836393101512918,12,54.3042368888855
DTLZ2_5obj_10D,10,Traditional_NEHVI,5,0.989661774920512,1.161667015343027,0.26086064249264007,12,191.1936070919037
DTLZ2_5obj_10D,10,Traditional_NEHVI,6,0.9865381482412847,1.1272027028171685,0.29532495501849865,12,208.57906198501587
DTLZ2_5obj_10D,10,Traditional_NEHVI,7,0.912704093879101,1.0502882409192487,0.3722394169164185,12,226.88913416862488
DTLZ2_5obj_10D,10,Traditional_NEHVI,8,0.9401353833001181,1.0600023775297547,0.36252528030591247,12,238.47767400741577
DTLZ2_5obj_10D,10,Traditional_NEHVI,9,0.9764493778518037,1.099754301155735,0.32277335667993223,12,1010.7929108142853
DTLZ2_5obj_20D,20,EGBO,0,27.442188434604635,33.14633247141646,1.4843416165090275,12,152.16413807868958
DTLZ2_5obj_20D,20,EGBO,1,26.113927795232758,30.65160501950342,3.9790690684220635,12,142.96320223808289
DTLZ2_5obj_20D,20,EGBO,2,26.009689624956046,30.777149684617353,3.853524403308132,12,152.55231094360352
DTLZ2_5obj_20D,20,EGBO,3,25.17943651512907,30.322195394215022,4.308478693710462,12,109.11761784553528
DTLZ2_5obj_20D,20,EGBO,4,27.030813934585503,32.10117686673848,2.5294972211870075,12,129.93117499351501
DTLZ2_5obj_20D,20,EGBO,5,26.41663021160297,31.478352919398866,3.152321168526619,12,119.67822599411011
DTLZ2_5obj_20D,20,EGBO,6,26.615347798629635,30.710275891690173,3.920398196235311,12,115.16835618019104
DTLZ2_5obj_20D,20,EGBO,7,26.611862157053118,32.16238423145693,2.4682898564685516,12,96.93934106826782
DTLZ2_5obj_20D,20,EGBO,8,25.365004223824414,30.13053462798179,4.500139459943696,12,99.99133014678955
DTLZ2_5obj_20D,20,EGBO,9,30.0784006988226,34.630674087925485,0.0,12,109.14125895500183
DTLZ2_5obj_20D,20,Traditional_NEHVI,0,23.018611335975844,23.035049351747766,11.595624736177719,12,152.80301809310913
DTLZ2_5obj_20D,20,Traditional_NEHVI,1,23.59629163303206,32.618950040309464,2.0117240476160205,12,294.1895077228546
DTLZ2_5obj_20D,20,Traditional_NEHVI,2,21.486627902233458,23.295913620687354,11.33476046723813,12,189.79107117652893
DTLZ2_5obj_20D,20,Traditional_NEHVI,3,20.436800132122453,17.19682763259503,17.433846455330453,12,183.25756406784058
DTLZ2_5obj_20D,20,Traditional_NEHVI,4,24.024236530149565,28.195616658290604,6.435057429634881,12,209.09403491020203
DTLZ2_5obj_20D,20,Traditional_NEHVI,5,20.249491719200318,27.462580943230893,7.168093144694591,12,193.93915128707886
DTLZ2_5obj_20D,20,Traditional_NEHVI,6,21.290313001169295,28.373170547411462,6.257503540514023,12,241.16111421585083
DTLZ2_5obj_20D,20,Traditional_NEHVI,7,22.217033576862597,30.560917487976035,4.06975659994945,12,229.50654125213623
DTLZ2_5obj_20D,20,Traditional_NEHVI,8,22.34156811739519,34.19689457089618,0.4337795170293077,12,205.40774130821228
DTLZ2_5obj_20D,20,Traditional_NEHVI,9,25.136607124961923,29.838607244022068,4.792066843903417,12,150.16583108901978
DTLZ2_5obj_50D,50,EGBO,0,1057.4321273008798,1206.135583798987,0.0,12,157.76128792762756
DTLZ2_5obj_50D,50,EGBO,1,941.5334937519026,1100.6164668464075,105.51911695257945,12,9154.651633262634
DTLZ2_5obj_50D,50,EGBO,2,883.8063576614679,1036.8299252077238,169.30565859126318,12,4305.361898899078
DTLZ2_5obj_50D,50,EGBO,3,1046.062228527338,1151.3695118677324,54.7660719312546,12,9146.537479162216
DTLZ2_5obj_50D,50,EGBO,4,893.2832590341044,1045.5334311423508,160.60215265663624,12,6171.152239084244
DTLZ2_5obj_50D,50,EGBO,5,962.0058843188508,1180.8481432890603,25.287440509926682,12,1362.3118579387665
DTLZ2_5obj_50D,50,EGBO,6,998.1746178344807,1182.316215578811,23.819368220176102,12,117.27628803253174
DTLZ2_5obj_50D,50,EGBO,7,775.0145418642487,925.878493136489,280.25709066249794,12,136.45519590377808
DTLZ2_5obj_50D,50,EGBO,8,987.7659333289578,1135.6755947916429,70.45998900734412,12,144.2216510772705
DTLZ2_5obj_50D,50,EGBO,9,905.7236728029095,1092.6262077409401,113.50937605804688,12,143.44962406158447
DTLZ2_5obj_50D,50,Traditional_NEHVI,0,785.6933955924812,789.9446498675375,416.19093393144954,12,147.81154990196228
DTLZ2_5obj_50D,50,Traditional_NEHVI,1,870.7223816259564,995.5328908094361,210.60269298955086,12,259.98721408843994
DTLZ2_5obj_50D,50,Traditional_NEHVI,2,755.1845072118537,822.2877712513119,383.84781254767506,12,248.8080689907074
DTLZ2_5obj_50D,50,Traditional_NEHVI,3,828.0952526820756,897.4586439822992,308.67693981668776,12,154.90315008163452
DTLZ2_5obj_50D,50,Traditional_NEHVI,4,688.3550703801906,967.575018626199,238.56056517278796,12,225.14424443244934
DTLZ2_5obj_50D,50,Traditional_NEHVI,5,802.3587369463021,813.5275718606623,392.6080119383247,12,148.8407371044159
DTLZ2_5obj_50D,50,Traditional_NEHVI,6,770.7995464551434,776.8639315759434,429.2716522230436,12,201.8729009628296
DTLZ2_5obj_50D,50,Traditional_NEHVI,7,653.1202579153248,734.3440794394063,471.7915043595807,12,170.03758192062378
DTLZ2_5obj_50D,50,Traditional_NEHVI,8,904.8867088621719,970.0226926451285,236.11289115385853,12,255.34464693069458
DTLZ2_5obj_50D,50,Traditional_NEHVI,9,665.7327015773914,665.976039700483,540.1595440985039,12,164.2511761188507
